customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c_000000,cu_000860,113375,Belo Horizonte,MG
c_000001,cu_005390,163886,Rio de Janeiro,RJ
c_000002,cu_005226,501920,Belo Horizonte,MG
c_000003,cu_005191,319675,Guarulhos,SP
c_000004,cu_003772,197566,Sao Bernardo do Campo,SP
c_000005,cu_003092,712114,Sao Bernardo do Campo,SP
c_000006,cu_005734,152533,Rio de Janeiro,RJ
c_000007,cu_006265,354677,Santos,SP
c_000008,cu_000466,348357,Guarulhos,SP
c_000009,cu_005334,373469,Sao Bernardo do Campo,SP
c_000010,cu_004426,830491,Chapeco,SC
c_000011,cu_005578,932318,Campinas,SP
c_000012,cu_006231,346683,Belo Horizonte,MG
c_000013,cu_003444,370587,Belo Horizonte,MG
c_000014,cu_003171,498533,Florianopolis,SC
c_000015,cu_002919,278591,Manaus,AM
c_000016,cu_000130,735624,Guarulhos,SP
c_000017,cu_001685,784514,Sao Paulo,SP
c_000018,cu_000769,283661,Recife,PE
c_000019,cu_002391,674316,Nova Iguacu,RJ
c_000020,cu_005611,249322,Contagem,MG
c_000021,cu_006949,997653,Juiz de Fora,MG
c_000022,cu_002433,670414,Pelotas,RS
c_000023,cu_005311,768813,Manaus,AM
c_000024,cu_005051,465125,Aparecida de Goiania,GO
c_000025,cu_006420,302031,Canoas,RS
c_000026,cu_001184,692367,Sao Paulo,SP
c_000027,cu_004555,921681,Brasilia,DF
c_000028,cu_003385,920967,Guarulhos,SP
c_000029,cu_004117,611285,Santos,SP
c_000030,cu_006396,905666,Jaboatao dos Guararapes,PE
c_000031,cu_004843,183021,Guarulhos,SP
c_000032,cu_002904,640298,Sao Bernardo do Campo,SP
c_000033,cu_000474,183498,Campinas,SP
c_000034,cu_001082,196990,Feira de Santana,BA
c_000035,cu_002558,125476,Niteroi,RJ
c_000036,cu_002047,366187,Pelotas,RS
c_000037,cu_002747,979451,Guarulhos,SP
c_000038,cu_000975,283927,Curitiba,PR
c_000039,cu_001806,343186,Curitiba,PR
c_000040,cu_000189,635379,Santos,SP
c_000041,cu_007101,273715,Santos,SP
c_000042,cu_002734,920234,Santos,SP
c_000043,cu_003005,725164,Dourados,MS
c_000044,cu_004658,722767,Uberlandia,MG
c_000045,cu_001899,798182,Manaus,AM
c_000046,cu_001267,143696,Guarulhos,SP
c_000047,cu_006975,280928,Blumenau,SC
c_000048,cu_001528,910711,Curitiba,PR
c_000049,cu_003202,625785,Porto Alegre,RS
c_000050,cu_003556,590991,Cuiaba,MT
c_000051,cu_003890,948487,Santos,SP
c_000052,cu_000646,423311,Sao Bernardo do Campo,SP
c_000053,cu_006164,620236,Caxias do Sul,RS
c_000054,cu_002888,108827,Canoas,RS
c_000055,cu_006310,702947,Uberlandia,MG
c_000056,cu_005393,474913,Campinas,SP
c_000057,cu_002435,597171,Niteroi,RJ
c_000058,cu_000600,543319,Guarulhos,SP
c_000059,cu_002363,385032,Rio de Janeiro,RJ
c_000060,cu_002061,541691,Contagem,MG
c_000061,cu_000241,581434,Londrina,PR
c_000062,cu_002041,476493,Sao Paulo,SP
c_000063,cu_002824,427486,Santos,SP
c_000064,cu_002612,608029,Sao Paulo,SP
c_000065,cu_007041,189534,Santos,SP
c_000066,cu_001363,354330,Chapeco,SC
c_000067,cu_006235,563712,Juazeiro do Norte,CE
c_000068,cu_005486,455379,Guarulhos,SP
c_000069,cu_007099,398638,Curitiba,PR
c_000070,cu_001478,312254,Jaboatao dos Guararapes,PE
c_000071,cu_002556,968941,Salvador,BA
c_000072,cu_000775,904691,Guarulhos,SP
c_000073,cu_004014,236361,Santarem,PA
c_000074,cu_000034,375149,Santos,SP
c_000075,cu_006349,633922,Campinas,SP
c_000076,cu_003152,850398,Guarulhos,SP
c_000077,cu_001955,149372,Duque de Caxias,RJ
c_000078,cu_001585,302193,Guarulhos,SP
c_000079,cu_003943,608768,Sao Paulo,SP
c_000080,cu_003073,812740,Sao Bernardo do Campo,SP
c_000081,cu_001021,715567,Chapeco,SC
c_000082,cu_003461,740915,Brasilia,DF
c_000083,cu_002613,625440,Sao Bernardo do Campo,SP
c_000084,cu_005225,535456,Feira de Santana,BA
c_000085,cu_003843,445394,Vitoria da Conquista,BA
c_000086,cu_001500,706959,Maringa,PR
c_000087,cu_004798,837416,Guarulhos,SP
c_000088,cu_006545,620876,Canoas,RS
c_000089,cu_006873,529145,Ananindeua,PA
c_000090,cu_005675,721014,Canoas,RS
c_000091,cu_000161,613081,Santos,SP
c_000092,cu_004297,132137,Nova Iguacu,RJ
c_000093,cu_001981,770548,Belo Horizonte,MG
c_000094,cu_000995,183070,Duque de Caxias,RJ
c_000095,cu_006413,660694,Guarulhos,SP
c_000096,cu_004911,109147,Santos,SP
c_000097,cu_003342,333684,Joinville,SC
c_000098,cu_004551,258053,Brasilia,DF
c_000099,cu_003798,936642,Guarulhos,SP
c_000100,cu_001275,874624,Santarem,PA
c_000101,cu_001016,126932,Campinas,SP
c_000102,cu_006439,169317,Uberlandia,MG
c_000103,cu_006863,308393,Londrina,PR
c_000104,cu_000337,496761,Joinville,SC
c_000105,cu_000878,932537,Belem,PA
c_000106,cu_001076,578547,Sao Bernardo do Campo,SP
c_000107,cu_004887,712590,Salvador,BA
c_000108,cu_003993,184063,Santos,SP
c_000109,cu_006360,593455,Canoas,RS
c_000110,cu_004859,447257,Maringa,PR
c_000111,cu_006331,584369,Caxias do Sul,RS
c_000112,cu_000379,873914,Sao Bernardo do Campo,SP
c_000113,cu_000492,350979,Brasilia,DF
c_000114,cu_005276,702262,Sao Bernardo do Campo,SP
c_000115,cu_002062,285018,Sao Bernardo do Campo,SP
c_000116,cu_003884,992631,Caxias do Sul,RS
c_000117,cu_000064,401668,Rio de Janeiro,RJ
c_000118,cu_002568,762522,Vitoria da Conquista,BA
c_000119,cu_005463,500319,Sao Paulo,SP
c_000120,cu_005248,562328,Sao Paulo,SP
c_000121,cu_002027,801515,Salvador,BA
c_000122,cu_002695,878255,Nova Iguacu,RJ
c_000123,cu_001495,793854,Sao Bernardo do Campo,SP
c_000124,cu_005258,615618,Pelotas,RS
c_000125,cu_005618,335030,Duque de Caxias,RJ
c_000126,cu_006736,387097,Contagem,MG
c_000127,cu_000391,391015,Nova Iguacu,RJ
c_000128,cu_005794,386444,Feira de Santana,BA
c_000129,cu_004514,201792,Feira de Santana,BA
c_000130,cu_006432,937385,Porto Alegre,RS
c_000131,cu_004474,775956,Sao Bernardo do Campo,SP
c_000132,cu_005892,345142,Feira de Santana,BA
c_000133,cu_003561,570025,Porto Alegre,RS
c_000134,cu_002278,945479,Porto Alegre,RS
c_000135,cu_007161,166045,Sao Paulo,SP
c_000136,cu_006184,838163,Brasilia,DF
c_000137,cu_003099,307276,Canoas,RS
c_000138,cu_006278,301962,Guarulhos,SP
c_000139,cu_000200,762584,Sao Paulo,SP
c_000140,cu_005959,181551,Olinda,PE
c_000141,cu_004875,573455,Campinas,SP
c_000142,cu_007073,375390,Cuiaba,MT
c_000143,cu_003104,568583,Canoas,RS
c_000144,cu_004598,200442,Juiz de Fora,MG
c_000145,cu_002454,302571,Santos,SP
c_000146,cu_003645,522158,Sao Bernardo do Campo,SP
c_000147,cu_005847,467187,Ananindeua,PA
c_000148,cu_000804,260441,Sao Bernardo do Campo,SP
c_000149,cu_006242,558858,Londrina,PR
c_000150,cu_002731,916069,Sao Paulo,SP
c_000151,cu_005991,334977,Sao Paulo,SP
c_000152,cu_002773,892850,Guarulhos,SP
c_000153,cu_001570,812076,Rio de Janeiro,RJ
c_000154,cu_005056,536427,Campo Grande,MS
c_000155,cu_006756,367745,Santos,SP
c_000156,cu_005581,955043,Campinas,SP
c_000157,cu_002690,292457,Santos,SP
c_000158,cu_003840,624349,Nova Iguacu,RJ
c_000159,cu_001028,768123,Rio de Janeiro,RJ
c_000160,cu_000502,142189,Brasilia,DF
c_000161,cu_006910,105631,Nova Iguacu,RJ
c_000162,cu_004493,495025,Nova Iguacu,RJ
c_000163,cu_000870,414791,Santos,SP
c_000164,cu_006938,742891,Aparecida de Goiania,GO
c_000165,cu_004488,138563,Guarulhos,SP
c_000166,cu_000206,381712,Campinas,SP
c_000167,cu_005134,811541,Contagem,MG
c_000168,cu_005977,125918,Belo Horizonte,MG
c_000169,cu_007035,979165,Guarulhos,SP
c_000170,cu_001484,504895,Nova Iguacu,RJ
c_000171,cu_000863,147645,Blumenau,SC
c_000172,cu_002790,335987,Guarulhos,SP
c_000173,cu_000563,902431,Salvador,BA
c_000174,cu_005116,732359,Belo Horizonte,MG
c_000175,cu_004191,258232,Campinas,SP
c_000176,cu_006019,249885,Niteroi,RJ
c_000177,cu_001757,972261,Campinas,SP
c_000178,cu_006628,320938,Ponta Grossa,PR
c_000179,cu_006374,822894,Nova Iguacu,RJ
c_000180,cu_006892,666614,Guarulhos,SP
c_000181,cu_001678,926716,Uberlandia,MG
c_000182,cu_003242,147219,Goiania,GO
c_000183,cu_004636,183744,Rio de Janeiro,RJ
c_000184,cu_001059,746183,Manaus,AM
c_000185,cu_006668,869944,Guarulhos,SP
c_000186,cu_005279,833281,Campinas,SP
c_000187,cu_001722,738163,Campinas,SP
c_000188,cu_003314,803889,Guarulhos,SP
c_000189,cu_003157,230779,Campinas,SP
c_000190,cu_005915,377920,Sao Bernardo do Campo,SP
c_000191,cu_002625,831839,Fortaleza,CE
c_000192,cu_002729,433697,Vitoria da Conquista,BA
c_000193,cu_006700,940788,Ponta Grossa,PR
c_000194,cu_001597,852642,Guarulhos,SP
c_000195,cu_003060,386231,Sao Paulo,SP
c_000196,cu_002693,935351,Sao Bernardo do Campo,SP
c_000197,cu_004891,834756,Pelotas,RS
c_000198,cu_005147,644960,Manaus,AM
c_000199,cu_005739,381154,Niteroi,RJ
c_000200,cu_003627,442184,Santos,SP
c_000201,cu_001363,372130,Nova Iguacu,RJ
c_000202,cu_001981,931422,Santos,SP
c_000203,cu_005450,425334,Sao Paulo,SP
c_000204,cu_001663,178810,Belo Horizonte,MG
c_000205,cu_001529,502578,Pelotas,RS
c_000206,cu_002038,774180,Campinas,SP
c_000207,cu_005592,866061,Sao Bernardo do Campo,SP
c_000208,cu_003302,626815,Aparecida de Goiania,GO
c_000209,cu_002237,817659,Santos,SP
c_000210,cu_005504,856284,Santos,SP
c_000211,cu_005496,492765,Guarulhos,SP
c_000212,cu_001306,632644,Santos,SP
c_000213,cu_004029,888834,Guarulhos,SP
c_000214,cu_006776,647428,Joinville,SC
c_000215,cu_002675,148840,Sao Bernardo do Campo,SP
c_000216,cu_005068,876059,Niteroi,RJ
c_000217,cu_005864,477456,Porto Alegre,RS
c_000218,cu_001282,445267,Duque de Caxias,RJ
c_000219,cu_000709,984117,Brasilia,DF
c_000220,cu_005575,648135,Brasilia,DF
c_000221,cu_005530,811781,Sao Paulo,SP
c_000222,cu_004744,588756,Curitiba,PR
c_000223,cu_004413,444778,Niteroi,RJ
c_000224,cu_003748,861841,Aparecida de Goiania,GO
c_000225,cu_005353,758878,Rio de Janeiro,RJ
c_000226,cu_004779,357047,Goiania,GO
c_000227,cu_000663,375528,Curitiba,PR
c_000228,cu_001998,430996,Campinas,SP
c_000229,cu_003445,805622,Nova Iguacu,RJ
c_000230,cu_003743,842411,Goiania,GO
c_000231,cu_005727,750875,Feira de Santana,BA
c_000232,cu_001495,913694,Sao Paulo,SP
c_000233,cu_003304,435011,Porto Alegre,RS
c_000234,cu_003763,140916,Sao Bernardo do Campo,SP
c_000235,cu_005232,506753,Campinas,SP
c_000236,cu_001853,807273,Sao Bernardo do Campo,SP
c_000237,cu_005616,305132,Santos,SP
c_000238,cu_006585,396894,Joinville,SC
c_000239,cu_004659,627460,Guarulhos,SP
c_000240,cu_001291,366278,Salvador,BA
c_000241,cu_003581,363932,Campinas,SP
c_000242,cu_003457,636859,Guarulhos,SP
c_000243,cu_001636,710333,Santos,SP
c_000244,cu_003696,667070,Guarulhos,SP
c_000245,cu_002999,460834,Sao Paulo,SP
c_000246,cu_003152,231120,Sao Bernardo do Campo,SP
c_000247,cu_000698,350042,Uberlandia,MG
c_000248,cu_002160,703425,Santos,SP
c_000249,cu_004097,583420,Santos,SP
c_000250,cu_004737,314578,Sao Bernardo do Campo,SP
c_000251,cu_006363,544486,Brasilia,DF
c_000252,cu_005685,442343,Juazeiro do Norte,CE
c_000253,cu_000854,817997,Niteroi,RJ
c_000254,cu_005855,455930,Sao Bernardo do Campo,SP
c_000255,cu_006528,368638,Campinas,SP
c_000256,cu_003474,706632,Ananindeua,PA
c_000257,cu_005757,973617,Sao Bernardo do Campo,SP
c_000258,cu_005249,628986,Sao Paulo,SP
c_000259,cu_005172,129683,Sao Paulo,SP
c_000260,cu_001707,208623,Campinas,SP
c_000261,cu_002777,735971,Sao Bernardo do Campo,SP
c_000262,cu_005791,619455,Florianopolis,SC
c_000263,cu_001733,772262,Guarulhos,SP
c_000264,cu_005535,149561,Juiz de Fora,MG
c_000265,cu_006390,109316,Campinas,SP
c_000266,cu_004931,172093,Sao Bernardo do Campo,SP
c_000267,cu_003510,732520,Juazeiro do Norte,CE
c_000268,cu_000202,609934,Santos,SP
c_000269,cu_003255,502697,Salvador,BA
c_000270,cu_004218,605736,Nova Iguacu,RJ
c_000271,cu_004496,210667,Santos,SP
c_000272,cu_000766,873428,Ananindeua,PA
c_000273,cu_004389,961494,Sao Paulo,SP
c_000274,cu_002327,300579,Feira de Santana,BA
c_000275,cu_002931,626169,Campinas,SP
c_000276,cu_000197,176350,Vitoria da Conquista,BA
c_000277,cu_007125,669129,Santos,SP
c_000278,cu_001930,547913,Niteroi,RJ
c_000279,cu_003582,502367,Maringa,PR
c_000280,cu_006895,454374,Manaus,AM
c_000281,cu_006287,659167,Juazeiro do Norte,CE
c_000282,cu_000608,824328,Blumenau,SC
c_000283,cu_003272,711671,Olinda,PE
c_000284,cu_001147,176177,Campinas,SP
c_000285,cu_004282,722293,Guarulhos,SP
c_000286,cu_003397,611070,Campinas,SP
c_000287,cu_002511,729219,Sao Paulo,SP
c_000288,cu_001794,666133,Santos,SP
c_000289,cu_000659,706364,Duque de Caxias,RJ
c_000290,cu_002811,801561,Guarulhos,SP
c_000291,cu_007098,993547,Porto Alegre,RS
c_000292,cu_006051,810884,Sao Bernardo do Campo,SP
c_000293,cu_006546,682758,Campinas,SP
c_000294,cu_001369,218659,Nova Iguacu,RJ
c_000295,cu_001986,790921,Florianopolis,SC
c_000296,cu_005630,722825,Curitiba,PR
c_000297,cu_000146,466194,Belo Horizonte,MG
c_000298,cu_003219,893410,Guarulhos,SP
c_000299,cu_002911,426431,Nova Iguacu,RJ
c_000300,cu_001734,677493,Sao Bernardo do Campo,SP
c_000301,cu_001843,785023,Sao Paulo,SP
c_000302,cu_000488,206313,Sao Paulo,SP
c_000303,cu_002976,474875,Santos,SP
c_000304,cu_001959,373290,Guarulhos,SP
c_000305,cu_005759,572059,Santarem,PA
c_000306,cu_006694,131815,Ananindeua,PA
c_000307,cu_002385,649176,Campinas,SP
c_000308,cu_002919,967976,Sao Paulo,SP
c_000309,cu_004736,954468,Sao Bernardo do Campo,SP
c_000310,cu_001802,818030,Campinas,SP
c_000311,cu_006616,336746,Ananindeua,PA
c_000312,cu_006065,888794,Santos,SP
c_000313,cu_006294,124757,Ponta Grossa,PR
c_000314,cu_005534,975953,Santos,SP
c_000315,cu_004061,983582,Goiania,GO
c_000316,cu_003369,896846,Campinas,SP
c_000317,cu_005730,694033,Curitiba,PR
c_000318,cu_000262,236860,Santos,SP
c_000319,cu_005883,461268,Uberlandia,MG
c_000320,cu_006287,205988,Sao Bernardo do Campo,SP
c_000321,cu_006489,264469,Santos,SP
c_000322,cu_000623,626529,Manaus,AM
c_000323,cu_001016,319349,Caucaia,CE
c_000324,cu_003643,844296,Jaboatao dos Guararapes,PE
c_000325,cu_004976,934538,Juiz de Fora,MG
c_000326,cu_002049,950672,Florianopolis,SC
c_000327,cu_007040,991471,Santos,SP
c_000328,cu_005423,330979,Guarulhos,SP
c_000329,cu_006397,768665,Santos,SP
c_000330,cu_003723,962994,Contagem,MG
c_000331,cu_004548,936027,Guarulhos,SP
c_000332,cu_003108,430132,Sao Paulo,SP
c_000333,cu_005279,781934,Uberlandia,MG
c_000334,cu_004090,376929,Florianopolis,SC
c_000335,cu_007158,318027,Sao Paulo,SP
c_000336,cu_002056,366542,Campinas,SP
c_000337,cu_003170,354274,Sao Bernardo do Campo,SP
c_000338,cu_001682,914881,Sao Paulo,SP
c_000339,cu_006959,811050,Sao Paulo,SP
c_000340,cu_002255,373739,Contagem,MG
c_000341,cu_001154,436544,Belo Horizonte,MG
c_000342,cu_004499,343977,Canoas,RS
c_000343,cu_006295,231694,Santos,SP
c_000344,cu_006197,600482,Vitoria da Conquista,BA
c_000345,cu_003191,168438,Guarulhos,SP
