order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o_000000,1,p_3170,s_889,2018-06-15 10:38:13,732.3,5.8
o_000001,1,p_7919,s_355,2017-10-27 07:25:09,125.62,7.11
o_000002,1,p_3060,s_185,2017-10-28 15:11:13,408.69,7.57
o_000003,1,p_6066,s_909,2017-12-18 08:10:00,177.23,6.82
o_000003,2,p_6240,s_730,2017-12-18 08:10:00,132.93,8.03
o_000004,1,p_5851,s_468,2017-07-16 19:08:57,221.67,29.64
o_000005,1,p_8861,s_648,2018-03-02 09:14:02,303.34,7.53
o_000006,1,p_4447,s_751,2018-01-17 04:47:39,330.52,5.86
o_000007,1,p_5380,s_946,2017-05-17 11:11:57,38.16,6.01
o_000008,1,p_5652,s_791,2018-02-22 18:06:52,386.13,10.46
o_000009,1,p_1166,s_117,2018-03-07 22:13:17,38.35,11.62
o_000010,1,p_9301,s_960,2018-03-14 17:47:13,22.01,7.44
o_000011,1,p_2594,s_968,2017-08-16 14:51:31,157.04,10.57
o_000012,1,p_7206,s_967,2017-10-24 07:32:33,72.04,10.77
o_000013,1,p_8587,s_368,2018-08-18 18:27:40,46.05,6.2
o_000013,2,p_6570,s_718,2018-08-18 18:27:40,94.73,11.7
o_000014,1,p_8256,s_802,2018-01-27 09:22:42,136.71,6.04
o_000015,1,p_2936,s_189,2018-05-21 23:43:46,211.15,25.04
o_000015,2,p_2246,s_786,2018-05-21 23:43:46,27.85,25.05
o_000016,1,p_5425,s_360,2018-08-13 14:07:33,20.05,11.5
o_000017,1,p_6098,s_934,2017-01-15 18:58:18,122.51,7.97
o_000018,1,p_1540,s_273,2018-04-07 14:16:43,35.52,11.46
o_000019,1,p_4927,s_720,2018-02-14 10:19:45,18.68,13.52
o_000020,1,p_7441,s_729,2017-03-05 10:38:47,90.17,12.07
o_000021,1,p_5634,s_160,2018-07-20 11:38:02,50.33,66.35
o_000022,1,p_2165,s_725,2018-03-23 15:18:04,33.43,16.16
o_000023,1,p_8069,s_227,2018-03-01 10:35:07,195.0,29.15
o_000024,1,p_6359,s_217,2018-04-14 08:37:12,21.42,19.33
o_000025,1,p_1932,s_175,2017-10-02 13:03:39,55.45,22.55
o_000026,1,p_2343,s_949,2018-05-08 03:15:10,194.54,28.09
o_000027,1,p_8106,s_293,2017-11-07 10:00:01,48.84,65.11
o_000028,1,p_7082,s_271,2018-05-16 12:15:00,146.18,14.17
o_000029,1,p_2808,s_468,2017-03-27 09:25:55,43.29,17.2
o_000030,1,p_3356,s_427,2017-07-16 13:54:20,46.77,13.84
o_000031,1,p_1211,s_526,2017-06-30 20:20:44,71.3,26.2
o_000032,1,p_6078,s_808,2017-11-16 09:51:00,148.46,27.6
o_000033,1,p_7160,s_146,2017-04-22 17:48:09,270.15,14.4
o_000034,1,p_8592,s_155,2018-05-15 19:31:12,129.02,13.49
o_000035,1,p_7464,s_642,2018-04-25 18:17:10,35.34,8.69
o_000036,1,p_6613,s_278,2017-02-24 21:32:36,240.92,23.13
o_000037,1,p_4660,s_968,2017-04-01 12:36:11,96.81,12.97
o_000038,1,p_1003,s_619,2018-03-07 12:58:45,276.13,25.48
o_000038,2,p_1623,s_975,2018-03-07 12:58:45,80.11,23.74
