order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o_000000,c_001975,delivered,2018-06-10 10:38:13,2018-06-10 11:19:13,2018-06-11 08:38:21,2018-06-14 16:17:00,2018-06-21 18:41:30
o_000001,c_006380,delivered,2017-10-22 07:25:09,2017-10-22 07:58:09,2017-10-23 04:06:28,2017-10-27 09:01:36,2017-11-01 14:49:06
o_000002,c_003227,delivered,2017-10-23 15:11:13,2017-10-23 15:36:13,2017-10-25 00:51:42,2017-10-26 20:27:54,2017-11-01 23:07:39
o_000003,c_002013,delivered,2017-12-13 08:10:00,2017-12-13 08:14:00,2017-12-15 07:15:58,2017-12-17 20:24:34,2017-12-22 16:01:49
o_000004,c_004058,delivered,2017-07-11 19:08:57,2017-07-11 19:26:57,2017-07-13 05:49:28,2017-07-28 07:14:58,2017-08-06 16:11:14
o_000005,c_005257,delivered,2018-02-25 09:14:02,2018-02-25 09:15:02,2018-02-27 05:40:36,2018-03-03 23:03:08,2018-03-11 01:48:04
o_000006,c_006316,delivered,2018-01-12 04:47:39,2018-01-12 05:18:39,2018-01-15 02:09:13,2018-01-19 12:42:15,2018-01-23 10:51:14
o_000007,c_004958,delivered,2017-05-12 11:11:57,2017-05-12 11:29:57,2017-05-14 02:34:45,2017-05-20 02:53:01,2017-05-25 09:51:07
o_000008,c_002752,delivered,2018-02-17 18:06:52,2018-02-17 19:13:52,2018-02-18 09:08:48,2018-02-25 03:32:27,2018-03-05 12:03:14
o_000009,c_002225,shipped,2018-03-02 22:13:17,2018-03-02 22:24:17,2018-03-04 04:51:23,,2018-03-14 12:02:59
o_000010,c_002463,delivered,2018-03-09 17:47:13,2018-03-09 17:52:13,2018-03-10 19:43:05,2018-03-14 04:37:54,2018-03-23 18:08:37
o_000011,c_005052,delivered,2017-08-11 14:51:31,2017-08-11 14:58:31,2017-08-14 03:05:52,2017-08-19 05:36:12,2017-08-25 01:22:53
o_000012,c_002191,delivered,2017-10-19 07:32:33,2017-10-19 07:43:33,2017-10-20 08:34:09,2017-10-23 07:42:49,2017-10-27 12:24:22
o_000013,c_004545,delivered,2018-08-13 18:27:40,2018-08-13 18:29:40,2018-08-15 07:15:43,2018-08-16 20:13:45,2018-08-21 21:31:11
o_000014,c_002877,delivered,2018-01-22 09:22:42,2018-01-22 09:28:42,2018-01-25 09:18:07,2018-01-25 15:10:27,2018-01-29 14:06:12
o_000015,c_004841,delivered,2018-05-16 23:43:46,2018-05-17 01:34:46,2018-05-19 20:58:12,2018-06-02 08:59:27,2018-06-12 04:27:09
o_000016,c_002369,delivered,2018-08-08 14:07:33,2018-08-08 14:08:33,2018-08-11 04:51:49,2018-08-14 00:10:45,2018-08-20 04:54:50
o_000017,c_005058,delivered,2017-01-10 18:58:18,2017-01-10 19:27:18,2017-01-12 23:16:05,2017-01-17 17:51:27,2017-01-23 00:37:03
o_000018,c_003730,delivered,2018-04-02 14:16:43,2018-04-02 14:33:43,2018-04-04 00:00:57,2018-04-09 08:39:16,2018-04-13 23:12:01
o_000019,c_000771,delivered,2018-02-09 10:19:45,2018-02-09 10:36:45,2018-02-11 12:00:30,2018-02-17 02:47:34,2018-02-20 22:01:03
o_000020,c_007544,delivered,2017-02-28 10:38:47,2017-02-28 12:16:47,2017-03-03 08:41:06,2017-03-10 16:41:49,2017-03-19 03:15:32
o_000021,c_006120,delivered,2018-07-15 11:38:02,2018-07-15 11:52:02,2018-07-17 11:55:08,2018-08-10 17:47:01,2018-08-14 21:46:36
o_000022,c_005674,delivered,2018-03-18 15:18:04,2018-03-18 15:23:04,2018-03-20 17:18:09,2018-03-29 06:29:32,2018-04-07 02:29:17
o_000023,c_006289,delivered,2018-02-24 10:35:07,2018-02-24 10:40:07,2018-02-27 00:17:23,2018-03-09 02:47:33,2018-03-17 23:12:05
o_000024,c_003025,delivered,2018-04-09 08:37:12,2018-04-09 08:56:12,2018-04-11 07:12:51,2018-04-15 13:37:11,2018-04-24 21:26:26
o_000025,c_007790,delivered,2017-09-27 13:03:39,2017-09-27 13:09:39,2017-09-28 10:42:34,2017-10-13 00:52:41,2017-10-16 14:36:33
o_000026,c_002221,delivered,2018-05-03 03:15:10,2018-05-03 03:38:10,2018-05-04 05:14:26,2018-05-14 04:03:32,2018-05-20 14:29:52
o_000027,c_003948,delivered,2017-11-02 10:00:01,2017-11-02 10:04:01,2017-11-03 10:37:21,2017-11-24 11:32:18,2017-11-28 09:53:27
o_000028,c_006901,delivered,2018-05-11 12:15:00,2018-05-11 12:59:00,2018-05-12 19:47:00,2018-05-19 01:27:11,2018-05-28 04:20:05
o_000029,c_004909,delivered,2017-03-22 09:25:55,2017-03-22 10:24:55,2017-03-24 17:58:45,2017-03-28 22:41:48,2017-04-06 15:22:56
o_000030,c_005844,delivered,2017-07-11 13:54:20,2017-07-11 14:27:20,2017-07-12 15:02:44,2017-07-17 13:56:40,2017-07-22 22:00:14
o_000031,c_006036,delivered,2017-06-25 20:20:44,2017-06-25 20:37:44,2017-06-26 13:47:57,2017-07-13 00:11:40,2017-07-16 20:08:24
o_000032,c_001638,delivered,2017-11-11 09:51:00,2017-11-11 11:15:00,2017-11-12 06:44:37,2017-11-24 04:22:24,2017-12-02 07:11:31
o_000033,c_003229,delivered,2017-04-17 17:48:09,2017-04-17 17:49:09,2017-04-18 10:02:38,2017-04-24 11:06:09,2017-05-01 10:31:49
o_000034,c_006847,delivered,2018-05-10 19:31:12,2018-05-10 19:57:12,2018-05-12 04:04:03,2018-05-20 19:54:54,2018-05-29 07:17:53
o_000035,c_001576,delivered,2018-04-20 18:17:10,2018-04-20 18:18:10,2018-04-23 15:07:04,2018-04-26 16:41:01,2018-05-05 23:09:40
o_000036,c_004496,delivered,2017-02-19 21:32:36,2017-02-19 21:51:36,2017-02-22 05:19:37,2017-03-03 15:40:19,2017-03-07 09:00:51
o_000037,c_007300,shipped,2017-03-27 12:36:11,2017-03-27 13:32:11,2017-03-30 07:20:59,,2017-04-12 22:16:39
o_000038,c_007172,delivered,2018-03-02 12:58:45,2018-03-02 13:20:45,2018-03-03 10:12:43,2018-03-17 09:42:03,2018-03-22 21:09:18
o_000039,c_006004,delivered,2018-05-05 14:04:55,2018-05-05 14:43:55,2018-05-06 07:31:15,2018-05-11 19:29:11,2018-05-19 16:17:33
