order_id,payment_sequential,payment_type,payment_installments,payment_value
o_000000,1,boleto,1,738.1
o_000001,1,credit_card,8,132.73
o_000002,1,credit_card,10,416.26
o_000003,1,voucher,1,325.01
o_000004,1,credit_card,2,251.31
o_000005,1,credit_card,1,310.87
o_000006,1,credit_card,10,336.38
o_000007,1,boleto,1,44.17
o_000008,1,debit_card,1,396.59
o_000009,1,credit_card,3,49.97
o_000010,1,credit_card,10,29.45
o_000011,1,credit_card,1,167.61
o_000012,1,credit_card,2,82.81
o_000013,1,credit_card,3,158.68
o_000014,1,boleto,1,142.75
o_000015,1,credit_card,3,289.09
o_000016,1,credit_card,1,31.55
o_000017,1,credit_card,1,130.48
o_000018,1,credit_card,1,46.98
o_000019,1,credit_card,6,32.2
o_000020,1,credit_card,2,102.24
o_000021,1,credit_card,4,116.68
o_000022,1,boleto,1,49.59
o_000023,1,credit_card,2,224.15
o_000024,1,credit_card,4,40.75
o_000025,1,credit_card,1,78.0
o_000026,1,credit_card,1,222.63
o_000027,1,credit_card,6,113.95
o_000028,1,credit_card,8,160.35
o_000029,1,boleto,1,60.49
o_000030,1,credit_card,10,60.61
o_000031,1,credit_card,2,97.5
o_000032,1,credit_card,1,176.06
o_000033,1,credit_card,1,284.55
o_000034,1,credit_card,3,142.51
o_000035,1,credit_card,1,44.03
o_000036,1,credit_card,2,264.05
o_000037,1,credit_card,6,109.78
o_000038,1,credit_card,1,405.46
o_000039,1,credit_card,3,123.6
o_000040,1,boleto,1,206.04
o_000041,1,credit_card,12,22.87
o_000042,1,credit_card,1,110.94
o_000043,1,credit_card,2,100.78
o_000044,1,credit_card,3,105.46
o_000045,1,boleto,1,59.19
o_000046,1,boleto,1,182.06
o_000047,1,boleto,1,30.37
o_000048,1,credit_card,3,54.26
o_000049,1,credit_card,1,42.67
o_000050,1,credit_card,1,418.51
o_000051,1,credit_card,1,277.67
o_000052,1,credit_card,4,204.93
o_000053,1,credit_card,2,520.78
o_000054,1,boleto,1,329.85
o_000055,1,credit_card,1,34.31
o_000056,1,credit_card,1,41.45
o_000057,1,credit_card,1,270.41
o_000058,1,credit_card,1,38.94
o_000059,1,credit_card,4,63.73
o_000060,1,credit_card,1,154.21
o_000061,1,credit_card,1,64.86
o_000062,1,credit_card,2,63.7
o_000063,1,credit_card,6,79.87
o_000064,1,credit_card,1,136.82
o_000065,1,credit_card,1,522.6
o_000066,1,debit_card,1,97.68
o_000067,1,credit_card,1,132.63
o_000068,1,credit_card,4,49.5
o_000069,1,credit_card,1,256.58
o_000070,1,debit_card,1,29.68
o_000071,1,boleto,1,42.28
o_000072,1,boleto,1,60.16
o_000073,1,credit_card,3,258.87
o_000074,1,boleto,1,129.31
o_000075,1,credit_card,1,182.36
o_000076,1,credit_card,1,44.26
o_000077,1,credit_card,3,78.99
o_000078,1,credit_card,2,113.02
o_000079,1,boleto,1,87.46
o_000080,1,voucher,1,207.35
o_000081,1,boleto,1,151.52
o_000082,1,credit_card,10,43.54
o_000083,1,credit_card,2,60.47
o_000084,1,credit_card,1,272.61
o_000085,1,credit_card,3,261.14
o_000086,1,credit_card,1,73.95
o_000087,1,credit_card,1,303.62
o_000088,1,credit_card,1,249.49
o_000089,1,credit_card,2,34.1
o_000090,1,credit_card,3,30.07
o_000091,1,voucher,1,145.98
o_000092,1,voucher,1,66.42
o_000093,1,credit_card,1,461.88
o_000094,1,credit_card,1,214.19
o_000095,1,credit_card,4,253.85
o_000096,1,boleto,1,301.14
o_000097,1,credit_card,6,48.41
o_000098,1,credit_card,12,61.74
o_000099,1,boleto,1,85.75
o_000100,1,credit_card,3,103.36
o_000101,1,credit_card,3,202.05
o_000102,1,credit_card,1,82.25
o_000103,1,boleto,1,242.94
o_000104,1,debit_card,1,114.44
o_000105,1,voucher,1,182.72
o_000106,1,credit_card,10,59.29
o_000107,1,credit_card,1,39.49
o_000108,1,credit_card,8,60.78
